path,score
https://www.nerdstickers.com.br/todos/gamabunta/,"(65, 38)"
https://www.nerdstickers.com.br/todos/orange-cat/,"(70, 38)"
https://www.nerdstickers.com.br/todos/baboon/,"(71, 38)"
https://www.nerdstickers.com.br/todos/orange-cat/,"(70, 38)"
https://www.nerdstickers.com.br/todos/gamabunta/,"(65, 38)"
https://www.nerdstickers.com.br/todos/x-wing-ii-starwars/,"(62, 38)"
https://www.nerdstickers.com.br/todos/#main,"(74, 38)"
https://www.nerdstickers.com.br/todos/dinossauro-vacation/,"(56, 38)"
https://www.nerdstickers.com.br/todos/psychic-woman/,"(61, 38)"
https://www.nerdstickers.com.br/todos/x-wing-ii-starwars/,"(62, 38)"
https://www.nerdstickers.com.br/todos/rio-de-janeiro/,"(70, 38)"
https://www.nerdstickers.com.br/todos/psychic-woman/,"(61, 38)"
https://www.nerdstickers.com.br/todos/lula-deb/,"(71, 38)"
https://www.nerdstickers.com.br/todos/need-more-space/,"(70, 39)"
https://www.nerdstickers.com.br/todos/lula-deb/,"(71, 38)"
https://www.nerdstickers.com.br/todos/national-security-agency/,"(52, 39)"
https://www.nerdstickers.com.br/todos/radioactive/,"(65, 38)"
https://www.nerdstickers.com.br/todos/homunculo/,"(68, 38)"
https://www.nerdstickers.com.br/todos/need-more-space/,"(70, 39)"
https://www.nerdstickers.com.br/todos/choose-your-hero-alteracao/,"(49, 38)"
https://www.nerdstickers.com.br/todos/homunculo/,"(68, 38)"
https://www.nerdstickers.com.br/todos/g-google/,"(74, 38)"
https://www.nerdstickers.com.br/todos/national-security-agency/,"(52, 39)"
https://www.nerdstickers.com.br/todos/radioactive/,"(65, 38)"
https://www.nerdstickers.com.br/todos/g-google/,"(74, 38)"
https://www.nerdstickers.com.br/todos/startup-life/,"(64, 38)"
https://www.nerdstickers.com.br/todos/nsa-inside/,"(68, 39)"
https://www.nerdstickers.com.br/todos/vue-js/,"(75, 38)"
https://www.nerdstickers.com.br/todos/choose-your-hero-alteracao/,"(49, 38)"
https://www.nerdstickers.com.br/todos/roger-pirates/,"(68, 38)"
https://www.nerdstickers.com.br/todos/vue-js/,"(75, 38)"
https://www.nerdstickers.com.br/todos/startup-life/,"(64, 38)"
https://www.nerdstickers.com.br/todos/nsa-inside/,"(68, 39)"
https://www.nerdstickers.com.br/todos/crie/,"(75, 38)"
https://www.nerdstickers.com.br/todos/roger-pirates/,"(68, 38)"
https://www.nerdstickers.com.br/todos/vue-js/,"(75, 38)"
https://www.nerdstickers.com.br/todos/ibm-i/,"(77, 38)"
https://www.nerdstickers.com.br/todos/dont-roll/,"(72, 38)"
https://www.nerdstickers.com.br/todos/vue-js/,"(75, 38)"
https://www.nerdstickers.com.br/todos/kratos-2/,"(71, 38)"
https://www.nerdstickers.com.br/todos/pinkman-hardblue/,"(58, 38)"
https://www.nerdstickers.com.br/todos/no-logs-no-crime/,"(70, 39)"
https://www.nerdstickers.com.br/todos/ibm-i/,"(77, 38)"
https://www.nerdstickers.com.br/todos/vue-js/,"(75, 38)"
https://www.nerdstickers.com.br/todos/dont-roll/,"(72, 38)"
https://www.nerdstickers.com.br/todos/no-logs-no-crime/,"(70, 39)"
https://www.nerdstickers.com.br/todos/crie/,"(75, 38)"
https://www.nerdstickers.com.br/todos/pinkman-hardblue/,"(58, 38)"
https://www.nerdstickers.com.br/todos/no-logs-no-crime/,"(70, 39)"
https://www.nerdstickers.com.br/todos/dropbox/,"(75, 38)"
https://www.nerdstickers.com.br/todos/your-password/,"(64, 38)"
https://www.nerdstickers.com.br/todos/no-logs-no-crime/,"(70, 39)"
https://www.nerdstickers.com.br/todos/kratos-2/,"(71, 38)"
https://www.nerdstickers.com.br/todos/choose-you-hero/,"(67, 38)"
https://www.nerdstickers.com.br/todos/heisen-cooker/,"(64, 38)"
https://www.nerdstickers.com.br/todos/metadata/,"(67, 38)"
https://www.nerdstickers.com.br/todos/dropbox/,"(75, 38)"
https://www.nerdstickers.com.br/todos/your-password/,"(64, 38)"
https://www.nerdstickers.com.br/todos/metadata/,"(67, 38)"
https://www.nerdstickers.com.br/todos/kratos/,"(71, 38)"
https://www.nerdstickers.com.br/todos/heisen-cooker/,"(64, 38)"
https://www.nerdstickers.com.br/todos/metadata/,"(67, 38)"
https://www.nerdstickers.com.br/todos/cloudflare/,"(66, 38)"
https://www.nerdstickers.com.br/todos/cats-tea/#main,"(61, 38)"
https://www.nerdstickers.com.br/todos/vue-js/,"(75, 38)"
https://www.nerdstickers.com.br/todos/g-google/,"(74, 38)"
